location[0],location[1],state,age,now_phagocytose,max_phagocytose,CSF1R,trans,trans_num,rest_time,life_span,a_CSF1,a_A
45,37,M2,587.374,1,2,1,0,2,0,720,0.675,0.45
61,57,M2,702.662,0,2,1,0,2,0,720,0.675,0.45
41,43,M1,662.043,2,2,1,0,1,4.5,720,0.675,0.45
52,38,M2,605.582,0,2,1,0,2,0,720,0.675,0.45
62,57,M2,684.644,1,2,1,0,3,0,720,0.675,0.45
47,32,M2,629.746,1,2,1,0,5,0,720,0.675,0.45
45,39,M1,656.675,2,2,1,0,1,6.5,720,0.675,0.45
47,38,M2,717.461,0,2,1,1,4,0,720,0.675,0.45
46,40,M1,639.185,2,2,1,0,5,10,720,0.675,0.45
48,37,M1,700.805,2,2,1,0,1,4.5,720,0.675,0.45
42,42,M1,611.379,2,2,1,0,3,3,720,0.675,0.45
58,72,M1,632.444,2,2,1,0,6,5,720,0.675,0.45
40,53,M1,651.848,2,2,1,0,6,2,720,0.675,0.45
40,46,M2,680.509,0,2,1,0,3,0,720,0.675,0.45
42,43,M1,432.241,2,2,1,0,3,6,720,0.675,0.45
41,68,M2,663.762,0,2,1,0,6,0,720,0.675,0.45
29,43,M1,667.007,2,2,1,0,3,10.5,720,0.675,0.45
34,53,M1,603.066,2,2,1,0,3,6.5,720,0.675,0.45
57,40,M2,696.657,1,2,1,1,0,0,720,0.675,0.45
25,39,M2,656.609,1,2,1,1,1,0,720,0.675,0.45
63,76,M2,667.446,0,2,1,1,6,0,720,0.675,0.45
59,59,M2,719.77,0,2,1,0,4,0,720,0.675,0.45
56,59,M2,696.411,0,2,1,0,5,0,720,0.675,0.45
52,36,M2,670.853,0,2,1,0,6,0,720,0.675,0.45
47,39,M2,690.583,1,2,1,0,6,0,720,0.675,0.45
67,53,M2,642.015,1,2,1,1,0,0,720,0.675,0.45
65,64,M2,696.594,0,2,1,0,3,0,720,0.675,0.45
40,57,M2,510.216,1,2,1,0,3,0,720,0.675,0.45
48,27,M2,689.969,0,2,1,0,0,0,720,0.675,0.45
68,51,M2,692.897,0,2,1,1,0,0,720,0.675,0.45
33,59,M2,657.794,1,2,1,0,0,0,720,0.675,0.45
46,29,M1,558.098,2,2,1,0,3,4.5,720,0.675,0.45
49,31,M2,580.107,1,2,1,0,6,0,720,0.675,0.45
54,39,M2,654.939,0,2,1,0,2,0,720,0.675,0.45
36,56,M2,506.573,1,2,1,0,1,0,720,0.675,0.45
62,44,M2,624.499,0,2,1,1,5,0,720,0.675,0.45
43,61,M2,687.085,1,2,1,0,0,0,720,0.675,0.45
34,61,M2,708.369,0,2,1,0,3,0,720,0.675,0.45
