location[0],location[1],index,state,age,if_migra,mature,div_time,maxDiv,nDiv,cell_cycle,life_span,prob,prob_0,EGF_R,IGF_R,AKT,ERK,a_ERK,a_AKT
49,49,0,quiescent,28.1807,3,3.5,4,12,4,3.5,192,1,0.0990317,0.7728,4.84737e-11,3.56545e-06,0.824776,14.3,44
49,50,1,quiescent,25.1448,43,3.5,9.5,12,2,3.5,192,1,0.0990035,0.772255,1.64519e-10,1.31957e-05,0.823874,14.3,44
50,49,2,quiescent,24.426,38,3.5,8,12,3,3.5,192,1,0.0990714,0.773519,8.62449e-11,6.71174e-06,0.825683,14.3,44
50,50,3,quiescent,18.4399,31,3.5,3.5,12,3,3.5,192,1,0.0990384,0.772933,8.4822e-11,6.66185e-06,0.824874,14.3,44
51,49,4,quiescent,38.5,29,7,19,8,2,7,192,1,0.0991171,0.774355,8.35527e-11,6.6074e-06,0.826808,14.3,44
49,51,5,quiescent,32,16,7,22,8,1,7,192,1,0.0989781,0.771842,1.78233e-10,1.37854e-05,0.82324,14.3,44
48,50,6,quiescent,42,36,7,13,8,3,7,192,1,0.0989637,0.771673,4.921e-11,3.60705e-06,0.823108,14.3,44
51,50,7,quiescent,30.5,13,7,12.5,8,2,7,192,1,0.0990805,0.77372,4.41432e-11,3.38126e-06,0.825977,14.3,44
49,48,8,quiescent,53.5,11,7,9.5,8,2,7,192,1,0.099061,0.773422,5.21876e-11,3.69854e-06,0.825491,14.3,44
50,51,9,quiescent,37,26,7,23,8,2,7,192,1,0.0990097,0.772454,8.96742e-11,6.92382e-06,0.824164,14.3,44
48,49,10,quiescent,39,30,7,8.5,8,3,7,192,1,0.0989937,0.772167,2.78025e-11,1.90949e-06,0.823878,14.3,44
52,50,11,quiescent,35.5,23,14,17,8,1,14,192,1,0.0991305,0.774622,8.01906e-11,6.46284e-06,0.827141,14.3,44
47,51,12,quiescent,62.5,29,14,15,8,2,14,192,1,0.0989069,0.77085,5.38692e-11,3.79019e-06,0.821715,14.3,44
51,48,13,quiescent,58.5,21,7,43,8,1,7,192,1,0.0991597,0.775118,4.41203e-11,3.36932e-06,0.827928,14.3,44
48,51,14,quiescent,33.5,19,7,7.5,8,2,7,192,1,0.0989382,0.771311,5.15137e-11,3.7073e-06,0.822482,14.3,44
51,51,15,quiescent,25.5,3,7,7.5,8,1,7,192,1,0.0990504,0.773187,4.59701e-11,3.46081e-06,0.825237,14.3,44
48,52,16,quiescent,47,46,14,14.5,8,1,14,192,1,0.098922,0.771078,1.01697e-10,7.40357e-06,0.822006,14.3,44
52,49,17,quiescent,57,18,14,23.5,8,2,14,192,1,0.0991681,0.775321,2.15276e-11,1.65216e-06,0.828174,14.3,44
51,52,18,quiescent,78.5,13,14,20,8,4,14,192,1,0.0990229,0.772759,1.2043e-11,8.85604e-07,0.824616,14.3,44
50,48,19,quiescent,38,28,7,9,8,2,7,192,1,0.0991102,0.774235,2.53451e-11,1.80846e-06,0.826741,14.3,44
52,48,21,quiescent,47,46,14,20,8,1,14,192,1,0.099214,0.776111,4.21911e-11,3.29806e-06,0.829271,14.3,44
49,52,22,quiescent,51,6,14,22.5,8,1,14,192,1,0.0989493,0.771535,5.1621e-11,3.72618e-06,0.822752,14.3,44
48,48,23,quiescent,54.5,13,7,8.5,8,2,7,192,1,0.0990338,0.772808,1.23859e-11,9.02102e-07,0.824885,14.3,44
47,50,24,quiescent,49,2,14,25,8,1,14,192,1,0.0989236,0.771139,5.52017e-11,3.85485e-06,0.822121,14.3,44
52,51,26,quiescent,39,30,14,21,8,1,14,192,1,0.0990961,0.774031,2.30209e-11,1.71833e-06,0.826397,14.3,44
52,47,27,quiescent,88.5,33,14,15,8,4,14,192,1,0.0992605,0.777004,1.71454e-12,1.59382e-07,0.83049,14.3,44
53,49,28,quiescent,66.5,37,28,29.5,8,1,28,192,1,0.0992302,0.776427,4.01161e-11,3.21499e-06,0.829672,14.3,44
52,52,29,quiescent,70,44,28,37.5,8,1,28,192,1,0.0990684,0.773532,4.44195e-11,3.42891e-06,0.825678,14.3,44
50,47,30,quiescent,46.5,45,14,15.5,8,2,14,192,1,0.0991583,0.77508,1.35657e-11,9.32339e-07,0.827948,14.3,44
